iter	Passed	Remaining
0	60	29952
1	63	15925
2	67	11137
3	70	8744
4	73	7310
5	77	6355
6	80	5688
7	84	5205
8	88	4844
9	92	4527
10	95	4252
11	97	3982
12	100	3772
13	103	3585
14	106	3448
15	109	3325
16	112	3183
17	114	3073
18	117	2975
19	120	2885
20	123	2806
21	125	2731
22	128	2673
23	131	2608
24	134	2555
25	137	2498
26	139	2441
27	142	2398
28	144	2353
29	147	2312
30	150	2276
31	153	2240
32	155	2202
33	158	2172
34	161	2143
35	164	2116
36	166	2087
37	169	2056
38	171	2032
39	174	2004
40	177	1984
41	179	1961
42	182	1938
43	185	1920
44	187	1899
45	190	1883
46	193	1865
47	196	1846
48	199	1832
49	201	1817
50	204	1804
51	207	1789
52	210	1777
53	213	1763
54	216	1751
55	219	1738
56	222	1725
57	224	1714
58	228	1705
59	230	1693
60	234	1685
61	237	1677
62	240	1665
63	242	1654
64	245	1642
65	248	1632
66	251	1622
67	253	1611
68	256	1602
69	260	1597
70	262	1587
71	265	1578
72	268	1569
73	271	1561
74	274	1554
75	276	1544
76	279	1536
77	283	1532
78	286	1525
79	288	1515
80	291	1507
81	294	1498
82	297	1492
83	299	1484
84	302	1476
85	305	1469
86	308	1463
87	311	1456
88	313	1449
89	316	1442
90	319	1435
91	322	1429
92	325	1423
93	328	1417
94	331	1412
95	334	1407
96	337	1401
97	340	1397
98	344	1395
99	347	1389
100	350	1383
101	353	1377
102	355	1371
103	358	1365
104	361	1358
105	363	1352
106	366	1345
107	368	1339
108	372	1335
109	376	1334
110	379	1331
111	382	1326
112	385	1321
113	388	1316
114	391	1310
115	394	1304
116	397	1300
117	400	1295
118	402	1290
119	405	1284
120	408	1278
121	411	1274
122	413	1268
123	416	1263
124	419	1258
125	422	1253
126	425	1249
127	428	1246
128	431	1242
129	435	1238
130	437	1233
131	440	1228
132	443	1223
133	446	1218
134	449	1214
135	452	1209
136	454	1204
137	457	1199
138	459	1194
139	462	1189
140	465	1185
141	468	1180
142	471	1176
143	474	1172
144	477	1168
145	480	1164
146	482	1159
147	485	1154
148	488	1150
149	491	1145
150	494	1142
151	496	1137
152	499	1132
153	502	1128
154	504	1123
155	507	1119
156	510	1115
157	513	1110
158	515	1105
159	518	1101
160	521	1097
161	524	1093
162	527	1090
163	530	1087
164	533	1083
165	536	1079
166	539	1075
167	541	1070
168	544	1066
169	547	1062
170	550	1058
171	552	1054
172	555	1050
173	558	1046
174	561	1042
175	564	1039
176	567	1035
177	569	1031
178	573	1027
179	575	1023
180	578	1020
181	581	1016
182	584	1012
183	586	1007
184	589	1004
185	592	1000
186	595	996
187	598	992
188	600	988
189	603	984
190	606	980
191	609	976
192	611	973
193	614	969
194	617	965
195	620	962
196	623	958
197	626	954
198	628	950
